### list1 ###,,,,
id,type,wordfn,primefn,is_word
176,pseudoword,176_target.wav,176_related.wav,no
177,pseudoword,177_target_n.wav,177_related.wav,no
178,pseudoword,178_target.wav,178_unrelated.wav,no
179,pseudoword,179_target_n.wav,179_unrelated.wav,no
180,pseudoword,180_target.wav,180_related.wav,no
181,pseudoword,181_target_n.wav,181_related.wav,no
182,pseudoword,182_target.wav,182_unrelated.wav,no
183,pseudoword,183_target_n.wav,183_unrelated.wav,no
184,pseudoword,184_target.wav,184_related.wav,no
185,pseudoword,185_target_n.wav,185_related.wav,no
186,pseudoword,186_target.wav,186_unrelated.wav,no
187,pseudoword,187_target_n.wav,187_unrelated.wav,no
188,pseudoword,188_target.wav,188_related.wav,no
189,pseudoword,189_target_n.wav,189_related.wav,no
190,pseudoword,190_target.wav,190_unrelated.wav,no
191,pseudoword,191_target_n.wav,191_unrelated.wav,no
192,pseudoword,192_target.wav,192_related.wav,no
